entry_time,exit_time,direction,entry,exit,sl,tp,lots,pnl,r_multiple,meta
2017-01-04 09:00:00+00:00,2017-01-05 07:00:00+00:00,1,1165.5449999999998,1177.968640308832,1178.143640308832,,0.75,1021.7730231624068,2.066749393899267,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1164.35, 'don_lower': 1126.39, 'atr': 3.1984100772080004, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-01-04 08:00:00+0000', tz='UTC')}"
2017-01-05 15:00:00+00:00,2017-01-06 06:00:00+00:00,1,1181.565,1173.7307091940977,1173.9057091940977,1196.0885816118048,0.65,-483.2289023836531,-0.9706239120955356,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1179.26, 'don_lower': 1126.77, 'atr': 3.697145402951205, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-01-05 14:00:00+0000', tz='UTC')}"
2017-01-10 14:00:00+00:00,2017-01-10 17:00:00+00:00,1,1188.985,1182.2465975850603,1182.4215975850602,1201.5868048298796,0.76,-512.1185835354117,-1.0266630002148913,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1187.54, 'don_lower': 1136.45, 'atr': 3.194201207469911, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-01-10 13:00:00+0000', tz='UTC')}"
2017-01-12 08:00:00+00:00,2017-01-12 18:00:00+00:00,1,1204.885,1197.2295558738397,1197.4045558738396,1219.0508882523202,0.66,-505.2593123265811,-1.0233943328829835,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1200.95, 'don_lower': 1145.36, 'atr': 3.607722063080103, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-01-12 07:00:00+0000', tz='UTC')}"
2017-01-17 09:00:00+00:00,2017-01-17 12:00:00+00:00,1,1217.0249999999999,1211.0641511375002,1211.2391511375001,1228.1316977249996,0.86,-512.6330021749732,-1.0302462100477936,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1214.89, 'don_lower': 1160.63, 'atr': 2.8154244312499244, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-01-17 08:00:00+0000', tz='UTC')}"
2017-01-26 12:00:00+00:00,2017-01-27 19:00:00+00:00,-1,1187.4850000000001,1191.0699982176238,1190.8949982176239,1175.943726249749,0.83,-314.15485206276765,-0.6368687609174336,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1219.4, 'don_lower': 1188.7, 'atr': 2.9140684375626993, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-01-26 11:00:00+0000', tz='UTC')}"
2017-02-06 11:00:00+00:00,2017-02-08 09:00:00+00:00,1,1226.135,1235.8653606798857,1236.0403606798857,,0.95,1000.3842645891448,2.030857171691375,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1225.21, 'don_lower': 1180.48, 'atr': 2.5150901699714026, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-02-06 10:00:00+0000', tz='UTC')}"
2017-02-23 15:00:00+00:00,2017-02-24 15:00:00+00:00,1,1249.7749999999999,1253.855,1259.8722727148847,,0.93,416.64000000001437,0.8364238139260817,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1249.22, 'don_lower': 1216.64, 'atr': 2.5755681787212232, 'exit_reason': 'sl_gap', 'signal_time': Timestamp('2017-02-23 14:00:00+0000', tz='UTC')}"
2017-02-27 16:00:00+00:00,2017-02-27 18:00:00+00:00,1,1263.075,1257.8497172212708,1258.0247172212707,1272.6805655574587,0.99,-517.3029950941959,-1.0346515250070782,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1260.05, 'don_lower': 1216.64, 'atr': 2.44264138936468, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-02-27 15:00:00+0000', tz='UTC')}"
2017-03-03 15:00:00+00:00,2017-03-03 19:00:00+00:00,-1,1225.255,1231.227170090081,1231.052170090081,1213.9156598198374,0.85,-507.6344576568772,-1.0301871425679543,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1263.79, 'don_lower': 1225.45, 'atr': 2.8560850450406283, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-03-03 14:00:00+0000', tz='UTC')}"
2017-03-07 13:00:00+00:00,2017-03-08 09:00:00+00:00,-1,1220.935,1213.205,1212.7233187912468,,1.14,858.4200000000021,1.7477726789638681,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1263.79, 'don_lower': 1222.16, 'atr': 2.086670302188261, 'exit_reason': 'sl_gap', 'signal_time': Timestamp('2017-03-07 12:00:00+0000', tz='UTC')}"
2017-03-08 13:00:00+00:00,2017-03-09 23:00:00+00:00,-1,1209.395,1200.975,1200.7717507987973,,1.11,868.020000000008,1.7439301305211536,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1263.79, 'don_lower': 1211.36, 'atr': 2.1845623003006955, 'exit_reason': 'sl_gap', 'signal_time': Timestamp('2017-03-08 12:00:00+0000', tz='UTC')}"
2017-03-21 15:00:00+00:00,2017-03-23 14:00:00+00:00,1,1243.145,1248.645,1252.7781073290234,,0.99,702.9,1.3978982048583661,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1242.7, 'don_lower': 1194.91, 'atr': 2.4520268322558363, 'exit_reason': 'sl_gap', 'signal_time': Timestamp('2017-03-21 14:00:00+0000', tz='UTC')}"
2017-04-12 20:00:00+00:00,2017-04-17 00:00:00+00:00,1,1281.555,1293.2450000000001,1294.142365720029,,0.77,1115.730000000004,2.2151956779217694,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1279.72, 'don_lower': 1240.13, 'atr': 3.188091430007218, 'exit_reason': 'sl_gap', 'signal_time': Timestamp('2017-04-12 19:00:00+0000', tz='UTC')}"
2017-04-25 17:00:00+00:00,2017-04-26 20:00:00+00:00,-1,1264.395,1269.3191736093895,1269.1441736093896,1254.0786562214932,0.94,-481.6723192826155,-0.9453023009100419,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1295.45, 'don_lower': 1265.35, 'atr': 2.622835944626684, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-04-25 16:00:00+0000', tz='UTC')}"
2017-05-01 16:00:00+00:00,2017-05-03 19:00:00+00:00,-1,1259.7250000000001,1250.7408779842776,1250.5658779842777,,1.05,901.3328116508632,1.767349020699784,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1289.81, 'don_lower': 1260.0, 'atr': 2.3360305039306133, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-05-01 15:00:00+0000', tz='UTC')}"
2017-05-03 20:00:00+00:00,2017-05-04 14:00:00+00:00,-1,1239.335,1228.585,1228.2813238898286,,0.89,903.3500000000001,1.7715833665968228,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1288.18, 'don_lower': 1245.26, 'atr': 2.797169027542831, 'exit_reason': 'sl_gap', 'signal_time': Timestamp('2017-05-03 19:00:00+0000', tz='UTC')}"
2017-05-09 15:00:00+00:00,2017-05-09 21:00:00+00:00,-1,1217.885,1223.2132621419703,1223.0382621419703,1208.0734757160592,1.0,-532.8262141970299,-1.0339590719778604,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1271.15, 'don_lower': 1219.18, 'atr': 2.494131070985205, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-05-09 14:00:00+0000', tz='UTC')}"
2017-05-17 10:00:00+00:00,2017-05-18 08:00:00+00:00,1,1245.895,1253.8968056820172,1254.0718056820172,,1.18,1085.813070478032,2.1149186774035806,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1244.92, 'don_lower': 1214.23, 'atr': 2.0879514205042566, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-05-17 09:00:00+0000', tz='UTC')}"
2017-05-18 11:00:00+00:00,2017-05-18 13:00:00+00:00,1,1264.065,1257.1678615020226,1257.3428615020225,1276.864276995955,0.77,-531.079664344267,-1.0260333820930059,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1263.07, 'don_lower': 1214.23, 'atr': 3.2535692489887404, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-05-18 10:00:00+0000', tz='UTC')}"
2017-05-26 18:00:00+00:00,2017-05-30 08:00:00+00:00,1,1268.555,1263.962281885352,1264.137281885352,1277.8806332624442,1.06,-317.2281201526934,-0.6113431142657327,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1268.04, 'don_lower': 1230.9, 'atr': 2.370158315611016, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-05-26 17:00:00+0000', tz='UTC')}"
2017-05-31 18:00:00+00:00,2017-06-01 01:00:00+00:00,1,1271.835,1266.9249137401714,1267.0999137401714,1280.7201725196576,1.09,-404.3994023213208,-0.7835308706631393,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1270.41, 'don_lower': 1246.15, 'atr': 2.27004312991436, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-05-31 17:00:00+0000', tz='UTC')}"
